date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10544.8,39.07,-39.07,0.0,39.07,1.0,9165.1,29.39,1.0,29.39,1.0,29.39,-29.39,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,10753.96,40.42,-40.42,0.0,40.42,1.0,9346.9,30.47,1.0,30.47,1.0,30.47,-30.47,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,10899.2,39.1,-39.1,0.0,39.1,1.0,9473.14,29.36,1.0,29.36,1.0,29.36,-29.36,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10667.13,39.82,-39.82,0.0,39.82,1.0,9271.43,30.01,1.0,30.01,1.0,30.01,-30.01,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10615.5,36.05,-36.05,0.0,36.05,1.0,9226.56,26.92,1.0,26.92,1.0,26.92,-26.92,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10629.99,32.51,-32.51,0.0,32.51,1.0,9239.15,24.04,1.0,24.04,1.0,24.04,-24.04,0.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,10836.4,33.96,-33.96,0.0,33.96,1.0,9418.56,25.17,0.8571,-274.83,0.8571,-526.59,526.59,0.1429
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,10772.81,30.71,-30.71,0.0,30.71,1.0,9363.29,22.55,0.75,-277.45,0.75,-347.06,347.06,0.25
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10605.19,29.77,-29.77,0.0,29.77,1.0,9217.59,21.83,0.6667,-278.17,0.7778,21.83,-21.83,0.2222
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10338.98,32.97,-32.97,0.0,32.97,1.0,8986.22,24.49,0.6,-275.51,0.8,24.49,-24.49,0.2
2000-04-14,9517.45,9374.61,9662.12,9374.49,9109.05,0.4259,5.86,2.64,6,5,10030.83,38.55,-38.55,0.0,38.55,1.0,8718.39,29.16,0.6364,29.16,0.8182,29.16,-29.16,0.1818
2000-04-15,9086.36,8866.8,9086.36,8780.08,9120.48,0.5187,5.85,2.64,6,5,9487.48,65.1,-65.1,0.0,65.1,1.0,8246.12,51.78,0.6667,51.78,0.8333,51.78,-51.78,0.1667
2000-04-17,8848.16,8993.68,9013.14,8796.77,8808.09,0.5092,5.85,2.64,7,5,9623.24,62.81,-62.81,0.0,62.81,1.0,8364.12,49.76,0.6923,49.76,0.8462,49.76,-49.76,0.1538
2000-04-18,9220.96,9307.03,9389.35,9220.96,8921.12,0.5301,5.84,2.64,7,5,9958.52,72.41,-72.41,0.0,72.41,1.0,8655.54,57.87,0.7143,57.87,0.8571,57.87,-57.87,0.1429
2000-04-19,9435.02,9104.4,9477.67,9104.4,8535.96,0.5287,5.84,2.65,7,5,9741.71,70.34,-70.34,0.0,70.34,1.0,8467.09,56.18,0.7333,56.18,0.8667,56.18,-56.18,0.1333
2000-04-20,9084.86,9109.05,9175.75,8943.89,8541.95,0.5126,5.85,2.65,7,5,9746.68,64.77,-64.77,0.0,64.77,1.0,8471.42,51.39,0.75,51.39,0.875,51.39,-51.39,0.125
2000-04-21,9130.32,9120.48,9243.04,9105.31,8824.36,0.497,5.84,2.65,7,5,9758.91,59.57,-59.57,0.0,59.57,1.0,8482.05,46.94,0.7647,46.94,0.8824,46.94,-46.94,0.1176
2000-04-24,9128.95,8808.09,9128.95,8808.09,8777.35,0.5204,5.81,2.66,5,5,9424.66,65.22,-65.22,0.0,65.22,1.0,8191.52,51.94,0.7778,51.94,0.8889,51.94,-51.94,0.1111
2000-04-25,8711.68,8921.12,8923.27,8672.41,8638.75,0.5096,5.82,2.66,7,5,9545.6,62.42,-62.42,0.0,62.42,1.0,8296.64,49.48,0.7895,49.48,0.8947,49.48,-49.48,0.1053
2000-04-26,8992.62,8535.96,9022.77,8465.76,8420.0,0.5531,5.86,2.66,7,5,9133.48,74.17,-74.17,0.0,74.17,1.0,7938.44,59.79,0.8,59.79,0.9,59.79,-59.79,0.1
2000-04-27,8587.03,8541.95,8633.39,8458.4,8425.38,0.5363,5.84,2.66,7,5,9139.89,68.52,-68.52,0.0,68.52,1.0,7944.01,54.91,0.8095,54.91,0.9048,54.91,-54.91,0.0952
2000-04-28,8595.01,8824.36,8860.5,8478.48,8698.53,0.5513,5.86,2.66,7,5,9442.07,76.04,-76.04,0.0,76.04,1.0,8206.65,61.26,0.8182,61.26,0.9091,61.26,-61.26,0.0909
2000-04-29,8835.17,8777.35,8906.67,8725.38,8657.13,0.5354,5.86,2.67,7,5,9391.76,70.1,-70.1,0.0,70.1,1.0,8162.94,56.14,0.8261,56.14,0.913,56.14,-56.14,0.087
2000-05-02,8836.83,8638.75,8838.78,8636.27,8616.18,0.5267,5.86,2.67,6,5,9243.46,66.1,-66.1,0.0,66.1,1.0,8034.04,52.76,0.8333,52.76,0.9167,52.76,-52.76,0.0833
2000-05-03,8537.35,8420.0,8587.0,8395.23,8635.84,0.5308,5.85,2.67,6,5,9009.4,65.72,-65.72,0.0,65.72,1.0,7830.6,52.55,0.84,52.55,0.92,52.55,-52.55,0.08
2000-05-04,8444.07,8425.38,8655.2,8338.92,8559.87,0.5146,5.86,2.68,6,5,9015.16,60.55,-60.55,0.0,60.55,1.0,7835.6,48.09,0.8462,48.09,0.9231,48.09,-48.09,0.0769
2000-05-05,8389.9,8698.53,8699.02,8343.37,8349.91,0.5303,5.85,2.68,6,5,9307.43,67.75,-67.75,0.0,67.75,1.0,8089.63,54.17,0.8519,54.17,0.9259,54.17,-54.17,0.0741
2000-05-06,8699.48,8657.13,8774.25,8620.58,8560.44,0.5149,5.86,2.68,6,5,9263.13,62.3,-62.3,0.0,62.3,1.0,8051.13,49.49,0.8571,49.49,0.9286,49.49,-49.49,0.0714
2000-05-08,8669.47,8616.18,8742.69,8538.5,8465.02,0.4999,5.87,2.68,7,5,9219.31,57.19,-57.19,0.0,57.19,1.0,8013.05,45.13,0.8621,45.13,0.931,45.13,-45.13,0.069
2000-05-09,8607.65,8635.84,8660.77,8566.64,8727.82,0.4848,5.88,2.68,7,5,9240.35,52.59,-52.59,0.0,52.59,1.0,8031.33,41.19,0.8667,41.19,0.9333,41.19,-41.19,0.0667
2000-05-10,8693.87,8559.87,8749.62,8559.87,9085.74,0.4727,5.88,2.69,7,5,9159.06,48.44,-48.44,0.0,48.44,1.0,7960.68,37.71,0.871,37.71,0.9355,37.71,-37.71,0.0645
2000-05-11,8427.34,8349.91,8440.78,8281.68,9087.21,0.4792,5.87,2.69,7,5,8934.4,49.16,103.65,0.0312,-103.65,0.9688,7765.42,38.4,0.875,38.4,0.9375,38.4,-38.4,0.0625
2000-05-12,8472.82,8560.44,8603.87,8454.72,9119.77,0.4853,5.88,2.69,7,5,9159.67,52.28,-52.28,0.0303,52.28,0.9697,7961.21,40.96,0.8788,40.96,0.9394,40.96,-40.96,0.0606
2000-05-15,8639.94,8465.02,8639.94,8461.27,8820.35,0.4748,5.95,2.69,5,5,9057.57,48.53,-48.53,0.0294,48.53,0.9706,7872.47,37.8,0.8824,37.8,0.9412,37.8,-37.8,0.0588
2000-05-16,8534.18,8727.82,8733.46,8496.44,8807.57,0.4915,5.95,2.7,6,5,9338.77,55.26,-55.26,0.0286,55.26,0.9714,8116.87,43.4,0.8857,43.4,0.9429,43.4,-43.4,0.0571
2000-05-17,8885.24,9085.74,9131.86,8885.24,8671.01,0.5276,5.9,2.7,6,5,9721.74,69.81,-69.81,0.0278,69.81,0.9722,8449.74,55.74,0.8889,55.74,0.9444,55.74,-55.74,0.0556
2000-05-18,9040.33,9087.21,9135.13,9002.03,8500.41,0.5115,5.92,2.7,6,5,9723.31,64.26,-64.26,0.027,64.26,0.973,8451.11,50.95,0.8919,50.95,0.9459,50.95,-50.95,0.0541
2000-05-19,9034.41,9119.77,9146.59,9030.57,8438.1,0.4963,5.92,2.7,6,5,9758.15,59.35,-59.35,0.0263,59.35,0.9737,8481.39,46.73,0.8684,-253.27,0.9211,3.44,-3.44,0.0789
2000-05-20,9093.14,8820.35,9167.78,8700.19,8559.46,0.5167,5.92,2.7,6,5,9437.77,64.09,-64.09,0.0256,64.09,0.9744,8202.93,50.93,0.8718,50.93,0.9231,50.93,-50.93,0.0769
2000-05-22,8903.32,8807.57,8967.36,8800.37,8588.25,0.501,5.91,2.7,7,5,9424.1,58.82,-58.82,0.025,58.82,0.975,8191.04,46.43,0.875,46.43,0.925,46.43,-46.43,0.075
2000-05-23,8811.44,8671.01,8820.73,8634.73,8764.42,0.4937,5.91,2.71,7,5,9277.98,55.57,-55.57,0.0244,55.57,0.9756,8064.04,43.71,0.878,43.71,0.9268,43.71,-43.71,0.0732
2000-05-24,8496.06,8500.41,8623.12,8470.56,8939.52,0.4915,5.91,2.71,7,5,9095.44,53.82,-53.82,0.0238,53.82,0.9762,7905.38,42.3,0.881,42.3,0.9286,42.3,-42.3,0.0714
2000-05-25,8609.8,8438.1,8643.66,8418.5,8842.63,0.4784,5.92,2.71,7,5,9028.77,49.44,-49.44,0.0233,49.44,0.9767,7847.43,38.6,0.8837,38.6,0.9302,38.6,-38.6,0.0698
2000-05-26,8397.01,8559.46,8578.32,8386.37,8883.45,0.4707,5.92,2.71,7,5,9158.62,47.85,-47.85,0.0227,47.85,0.9773,7960.3,37.21,0.8864,37.21,0.9318,37.21,-37.21,0.0682
2000-05-29,8593.62,8588.25,8701.61,8571.35,8935.64,0.4568,5.91,2.72,5,5,9189.43,43.9,-43.9,0.0222,43.9,0.9778,7987.07,33.88,0.8889,33.88,0.9333,33.88,-33.88,0.0667
2000-05-30,8668.7,8764.42,8764.42,8641.43,8958.21,0.4574,5.9,2.72,6,5,9377.93,44.99,-44.99,0.0217,44.99,0.9783,8150.91,34.73,0.8913,34.73,0.9348,34.73,-34.73,0.0652
2000-05-31,8951.11,8939.52,8969.65,8879.43,9115.47,0.4573,5.92,2.72,7,5,9565.29,45.85,-45.85,0.0213,45.85,0.9787,8313.75,35.38,0.8936,35.38,0.9362,35.38,-35.38,0.0638
2000-06-01,8936.43,8842.63,8961.54,8815.43,9067.88,0.4476,5.88,2.72,7,5,9461.61,42.48,-42.48,0.0208,42.48,0.9792,8223.65,32.61,0.8958,32.61,0.9375,32.61,-32.61,0.0625
2000-06-02,8979.78,8883.45,9026.86,8880.98,9036.66,0.4347,5.88,2.72,7,5,9505.29,38.97,-38.97,0.0204,38.97,0.9796,8261.61,29.67,0.898,29.67,0.9388,29.67,-29.67,0.0612
2000-06-05,8961.36,8958.21,8975.99,8894.82,8955.44,0.4101,5.88,2.73,7,4,9585.28,32.52,-32.52,0.02,32.52,0.98,8331.14,24.33,0.9,24.33,0.94,24.33,-24.33,0.06
2000-06-07,8943.63,9115.47,9116.24,8943.63,8935.23,0.4095,5.89,2.73,7,5,9753.55,32.94,-32.94,0.0196,32.94,0.9804,8477.39,24.63,0.902,24.63,0.9412,24.63,-24.63,0.0588
2000-06-08,9151.31,9067.88,9209.48,9055.72,8844.97,0.3982,5.88,2.73,7,5,9702.63,29.77,-29.77,0.0192,29.77,0.9808,8433.13,22.06,0.9038,22.06,0.9423,22.06,-22.06,0.0577
2000-06-09,9113.07,9036.66,9136.75,9011.2,8832.15,0.3865,5.85,2.73,7,5,9669.23,26.73,-26.73,0.0189,26.73,0.9811,8404.09,19.62,0.9057,19.62,0.9434,19.62,-19.62,0.0566
2000-06-12,9065.22,8955.44,9083.85,8935.47,8770.8,0.3782,5.84,2.74,5,5,9582.32,24.49,-24.49,0.0185,24.49,0.9815,8328.56,17.84,0.9074,17.84,0.9444,17.84,-17.84,0.0556
2000-06-13,8905.45,8891.09,8984.13,8879.52,8751.1,0.3689,5.8,2.74,6,5,9513.47,22.18,-22.18,0.0182,22.18,0.9818,8268.71,16.02,0.9091,16.02,0.9455,16.02,-16.02,0.0545
2000-06-14,8978.65,8935.23,9014.27,8911.38,8690.66,0.3588,5.78,2.74,6,5,9560.7,20.05,-20.05,0.0179,20.05,0.9821,8309.76,14.34,0.9107,14.34,0.9464,14.34,-14.34,0.0536
2000-06-15,8932.59,8844.97,8968.99,8826.69,8637.6,0.3525,5.79,2.74,6,5,9464.12,18.54,-18.54,0.0175,18.54,0.9825,8225.82,13.16,0.9123,13.16,0.9474,13.16,-13.16,0.0526
2000-06-16,8852.32,8832.15,8893.59,8791.67,8771.77,0.3419,5.79,2.74,6,5,9450.4,16.38,-16.38,0.0172,16.38,0.9828,8213.9,11.48,0.9138,11.48,0.9483,11.48,-11.48,0.0517
2000-06-17,8827.35,8770.8,8871.9,8753.67,8684.93,0.3338,5.9,2.75,6,5,9384.76,14.76,-14.76,0.0169,14.76,0.9831,8156.84,10.21,0.9153,10.21,0.9492,10.21,-10.21,0.0508
2000-06-19,8786.37,8751.1,8799.68,8653.62,8529.56,0.3238,5.76,2.75,7,5,9363.68,12.94,-12.94,0.0167,12.94,0.9833,8138.52,8.85,0.9167,8.85,0.95,8.85,-8.85,0.05
2000-06-20,8852.97,8690.66,8861.03,8688.72,8424.17,0.3164,5.75,2.75,7,5,9299.01,11.6,-11.6,0.0164,11.6,0.9836,8082.31,7.85,0.918,7.85,0.9508,7.85,-7.85,0.0492
2000-06-21,8733.2,8637.6,8742.23,8631.64,8365.63,0.3087,5.74,2.75,7,5,9242.23,10.32,-10.32,0.0161,10.32,0.9839,8032.97,6.9,0.9194,6.9,0.9516,6.9,-6.9,0.0484
2000-06-22,8623.4,8771.77,8771.77,8616.85,8120.89,0.3116,5.76,2.75,7,5,9385.79,10.94,-10.94,0.0159,10.94,0.9841,8157.75,7.35,0.9048,-292.65,0.9365,-29.51,29.51,0.0635
2000-06-23,8742.21,8684.93,8785.53,8682.02,8265.09,0.3073,5.71,2.76,7,5,9292.88,10.16,-10.16,0.0156,10.16,0.9844,8076.98,6.78,0.9062,6.78,0.9375,6.78,-6.78,0.0625
2000-06-26,8672.8,8529.56,8675.47,8507.42,8297.77,0.3148,5.68,2.76,7,5,9126.63,11.13,-11.13,0.0154,11.13,0.9846,7932.49,7.53,0.9077,7.53,0.9385,7.53,-7.53,0.0615
2000-06-27,8569.35,8424.17,8587.4,8412.01,8052.54,0.3132,5.69,2.76,7,5,9013.86,10.74,-10.74,0.0152,10.74,0.9848,7834.48,7.24,0.9091,7.24,0.9394,7.24,-7.24,0.0606
