duration,ratio,bc_win%,bc_earn,sc_win%,sc_earn,bp_win%,bp_earn,sp_SL_win%,sp_SL_earn,sp_final_win%,sp_final_earn
5,0.0,55.16,-36.24,44.84,36.24,44.82,-36.24,28.71,-65.34,55.18,55.41
5,0.005,46.17,-39.36,53.83,39.36,36.27,-39.36,43.52,-45.09,63.73,50.94
5,0.01,36.98,-40.88,63.02,40.88,29.45,-40.88,56.15,-28.22,70.55,45.66
5,0.015,28.64,-40.6,71.36,40.6,23.43,-40.6,66.02,-16.58,76.57,40.21
5,0.02,21.11,-38.76,78.89,38.76,18.31,-38.76,73.99,-7.82,81.69,34.81
5,0.025,16.13,-35.99,83.87,35.99,14.39,-35.99,80.04,-2.28,85.61,29.64
5,0.03,11.68,-32.74,88.32,32.74,11.52,-32.74,84.24,-0.09,88.48,24.91
5,0.035,8.37,-29.17,91.63,29.17,9.22,-29.17,87.62,1.49,90.78,20.87
5,0.04,6.22,-25.62,93.78,25.62,7.71,-25.62,90.15,2.1,92.29,17.48
5,0.045,4.43,-22.29,95.57,22.29,6.04,-22.29,92.18,2.5,93.96,14.68
5,0.05,3.2,-19.18,96.8,19.18,4.79,-19.18,93.65,2.3,95.21,12.27
5,0.055,2.4,-16.42,97.6,16.42,3.93,-16.42,94.69,1.64,96.07,10.25
5,0.06,1.91,-14.06,98.09,14.06,3.15,-14.06,95.67,1.49,96.85,8.58
5,0.065,1.46,-12.05,98.54,12.05,2.37,-12.05,96.61,1.8,97.63,7.18
5,0.07,1.2,-10.34,98.8,10.34,2.0,-10.34,97.27,1.74,98.0,6.02
5,0.075,0.96,-8.89,99.04,8.89,1.56,-8.89,97.86,1.81,98.44,5.05
5,0.08,0.76,-7.65,99.24,7.65,1.22,-7.65,98.28,1.68,98.78,4.24
5,0.085,0.65,-6.6,99.35,6.6,1.14,-6.6,98.43,0.97,98.86,3.57
5,0.09,0.49,-5.71,99.51,5.71,0.91,-5.71,98.69,0.8,99.09,3.03
5,0.095,0.42,-4.93,99.58,4.93,0.68,-4.93,99.04,1.08,99.32,2.57
5,0.1,0.36,-4.28,99.64,4.28,0.57,-4.28,99.22,0.96,99.43,2.19
10,0.0,56.69,-43.48,43.31,43.48,43.31,-43.48,21.75,-23.57,56.69,83.46
10,0.005,50.82,-48.12,49.18,48.12,37.39,-48.12,33.56,-13.04,62.61,78.1
10,0.01,44.99,-51.99,55.01,51.99,32.38,-51.99,44.37,-3.23,67.62,72.25
10,0.015,37.9,-54.49,62.1,54.49,28.01,-54.49,53.33,3.23,71.99,66.28
10,0.02,31.76,-55.48,68.24,55.48,23.69,-55.48,61.4,9.21,76.31,60.16
10,0.025,25.95,-55.35,74.05,55.35,20.49,-55.35,67.8,12.2,79.51,54.25
10,0.03,21.0,-54.13,79.0,54.13,17.62,-54.13,72.92,13.27,82.38,48.71
10,0.035,16.43,-52.03,83.57,52.03,15.17,-52.03,77.15,13.41,84.83,43.46
10,0.04,12.95,-49.23,87.05,49.23,12.46,-49.23,80.78,13.38,87.54,38.65
10,0.045,10.18,-46.06,89.82,46.06,10.6,-46.06,83.31,11.45,89.4,34.21
10,0.05,7.83,-42.65,92.17,42.65,9.0,-42.65,85.91,10.97,91.0,30.18
10,0.055,6.13,-39.14,93.87,39.14,7.7,-39.14,88.22,10.78,92.3,26.52
